fetched_at_utc,symbol,price_etb,change_pct
2026-09-23T18:57:14+00:00,IBMM,13.0,0.0
2026-09-23T18:57:14+00:00,WGBX,1146.63,-1.84
2026-09-23T18:57:14+00:00,GDAB,1042.67,0.0
2026-09-23T18:57:14+00:00,TELE,439.74,-1.75
2026-09-23T18:57:14+00:00,AWAB,2381.22,1.41
2026-09-23T18:57:14+00:00,ABAYB,1250.0,1.2
2026-09-23T18:57:14+00:00,BOAX,1709.65,-0.43
2026-09-23T18:57:14+00:00,SIDAX,1000.0,0.0
2026-09-24T07:09:36+00:00,IBMM,13.0,0.0
2026-09-24T07:09:36+00:00,WGBX,1146.63,0.0
2026-09-24T07:09:36+00:00,GDAB,1042.67,0.0
2026-09-24T07:09:36+00:00,TELE,433.0,-1.53
2026-09-24T07:09:36+00:00,AWAB,2395.0,0.58
2026-09-24T07:09:36+00:00,ABAYB,1250.0,0.0
2026-09-24T07:09:36+00:00,BOAX,1799.0,5.23
2026-09-24T07:09:36+00:00,SIDAX,1000.0,0.0
2026-09-24T09:42:04+00:00,IBMM,13.0,0.0
2026-09-24T09:42:04+00:00,WGBX,1180.0,2.91
2026-09-24T09:42:04+00:00,GDAB,1195.0,14.61
2026-09-24T09:42:04+00:00,TELE,440.0,0.06
2026-09-24T09:42:04+00:00,AWAB,2380.0,-0.05
2026-09-24T09:42:04+00:00,ABAYB,1300.0,4.0
2026-09-24T09:42:04+00:00,BOAX,1799.0,5.23
2026-09-24T09:42:04+00:00,SIDAX,1000.0,0.0
2026-09-24T11:12:42+00:00,IBMM,13.0,0.0
2026-09-24T11:12:42+00:00,WGBX,1180.0,2.91
2026-09-24T11:12:42+00:00,GDAB,1195.0,14.61
2026-09-24T11:12:42+00:00,TELE,440.0,0.06
2026-09-24T11:12:42+00:00,AWAB,2380.0,-0.05
2026-09-24T11:12:42+00:00,ABAYB,1300.0,4.0
2026-09-24T11:12:42+00:00,BOAX,1720.0,0.61
2026-09-24T11:12:42+00:00,SIDAX,1000.0,0.0
2026-09-24T12:46:13+00:00,IBMM,13.0,0.0
2026-09-24T12:46:13+00:00,WGBX,1141.61,-0.44
2026-09-24T12:46:13+00:00,GDAB,1197.5,14.85
2026-09-24T12:46:13+00:00,TELE,432.76,-1.59
2026-09-24T12:46:13+00:00,AWAB,2325.44,-2.34
2026-09-24T12:46:13+00:00,ABAYB,1258.6,0.69
2026-09-24T12:46:13+00:00,BOAX,1731.07,1.25
2026-09-24T12:46:13+00:00,SIDAX,1000.0,0.0
2026-09-24T13:11:45+00:00,IBMM,13.0,0.0
2026-09-24T13:11:45+00:00,WGBX,1141.61,-0.44
2026-09-24T13:11:45+00:00,GDAB,1197.5,14.85
2026-09-24T13:11:45+00:00,TELE,432.76,-1.59
2026-09-24T13:11:45+00:00,AWAB,2325.44,-2.34
2026-09-24T13:11:45+00:00,ABAYB,1258.6,0.69
2026-09-24T13:11:45+00:00,BOAX,1731.07,1.25
2026-09-24T13:34:47+00:00,IBMM,13.0,0.0
2026-09-24T13:34:47+00:00,WGBX,1141.61,-0.44
2026-09-24T13:34:47+00:00,GDAB,1197.5,14.85
2026-09-24T13:34:47+00:00,TELE,432.76,-1.59
2026-09-24T13:34:47+00:00,AWAB,2325.44,-2.34
2026-09-24T13:34:47+00:00,ABAYB,1258.6,0.69
2026-09-24T13:34:47+00:00,BOAX,1731.07,1.25
2026-09-24T13:36:19+00:00,IBMM,13.0,0.0
2026-09-24T13:36:19+00:00,WGBX,1141.61,-0.44
2026-09-24T13:36:19+00:00,GDAB,1197.5,14.85
2026-09-24T13:36:19+00:00,TELE,432.76,-1.59
2026-09-24T13:36:19+00:00,AWAB,2325.44,-2.34
2026-09-24T13:36:19+00:00,ABAYB,1258.6,0.69
2026-09-24T13:36:19+00:00,BOAX,1731.07,1.25
2026-09-25T06:00:19+00:00,IBMM,13.0,0.0
2026-09-25T06:00:19+00:00,WGBX,1141.61,-0.44
2026-09-25T06:00:19+00:00,GDAB,1197.5,14.85
2026-09-25T06:00:19+00:00,TELE,432.76,-1.59
2026-09-25T06:00:19+00:00,AWAB,2325.44,-2.34
2026-09-25T06:00:19+00:00,ABAYB,1258.6,0.69
2026-09-25T06:00:19+00:00,BOAX,1731.07,1.25
2026-09-25T06:15:14+00:00,IBMM,13.0,0.0
2026-09-25T06:15:14+00:00,WGBX,1141.61,-0.44
2026-09-25T06:15:14+00:00,GDAB,1197.5,14.85
2026-09-25T06:15:14+00:00,TELE,432.76,-1.59
2026-09-25T06:15:14+00:00,AWAB,2325.44,-2.34
2026-09-25T06:15:14+00:00,ABAYB,1258.6,0.69
2026-09-25T06:15:14+00:00,BOAX,1731.07,1.25
2026-09-25T06:30:16+00:00,IBMM,13.0,0.0
2026-09-25T06:35:13+00:00,IBMM,13.0,0.0
